state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Gujarat,Bharuch,Ankleshwar,Onion Green,Onion Green,03/10/2019,1000,1400,1225
Gujarat,Bharuch,Ankleshwar,Peas cod,Peas cod,04/14/2023,1100,1500,1325
Gujarat,Bharuch,Ankleshwar,Pegeon Pea (Arhar Fali),Pigeon Pea (Arhar Fali),01/21/2018,2750,3650,3475
Gujarat,Bharuch,Ankleshwar,Sponge gourd,Sponge gourd,06/23/2019,1325,1725,1500
Gujarat,Bharuch,Ankleshwar,Surat Beans (Papadi),Surat Beans (Papadi),08/24/2024,2225,2625,2450
Gujarat,Bharuch,Ankleshwar,Sweet Potato,Sweet Potato,12/03/2023,2225,3125,2900
Gujarat,Bharuch,Ankleshwar,Tinda,Tinda,08/16/2005,2750,3450,3150
Gujarat,Bharuch,Ankleshwar,Tomato,Tomato,09/04/2025,750,1650,1425
Gujarat,Kachchh,Bachau,Guar Seed(Cluster Beans Seed),Whole,02/01/2021,4000,4025,4010
Gujarat,Kheda,Nadiyad(Chaklasi),Potato,Potato,01/24/2004,600,800,700
Gujarat,Kheda,Nadiyad(Chaklasi),Sweet Potato,Sweet Potato,02/24/2011,1250,1650,1450
Gujarat,Panchmahals,Gogamba,Arhar (Tur/Red Gram)(Whole),Other,11/02/2004,4800,4900,4850
Gujarat,Panchmahals,Gogamba,Cotton,Other,08/24/2021,4500,4600,4550
Gujarat,Panchmahals,Gogamba,Maize,Deshi White,03/19/2022,1850,1950,1900
Gujarat,Panchmahals,Gogamba,Paddy(Dhan)(Common),G. R. 11,01/13/2006,1500,1550,1525
Gujarat,Panchmahals,Gogamba,Wheat,Other,08/17/2005,1850,1950,1900
Gujarat,Panchmahals,Gogamba(Similiya),Bajra(Pearl Millet/Cumbu),Other,07/24/2001,1750,1850,1800
Gujarat,Panchmahals,Gogamba(Similiya),Maize,Deshi White,02/08/2011,1800,1900,1850
Gujarat,Panchmahals,Gogamba(Similiya),Paddy(Dhan)(Common),Other,03/27/2020,1400,1450,1425
Gujarat,Surat,Bardoli(Katod),Brinjal,Other,04/24/2003,600,1400,1150
Gujarat,Surat,Bardoli(Katod),Cabbage,Other,05/18/2006,700,1250,1100
Gujarat,Surat,Bardoli(Katod),Tomato,Other,11/04/2004,700,1600,1300
Gujarat,Surat,Mandvi,Bhindi(Ladies Finger),Other,09/24/2018,3755,3755,3755
Gujarat,Surat,Mandvi,Brinjal,Other,12/09/2002,600,1765,1182
Gujarat,Surat,Mandvi,Cowpea(Veg),Other,11/01/2022,1900,3955,2927
Gujarat,Surat,Mandvi,Paddy(Dhan)(Common),Other,09/17/2021,1450,1500,1475
Gujarat,Surat,Mandvi,Pegeon Pea (Arhar Fali),Other,05/29/2015,2010,4000,3005
Gujarat,Surat,Mandvi,Surat Beans (Papadi),Other,01/20/2002,2300,3995,3147
Gujarat,Surat,Mandvi,Tomato,Other,01/20/2023,670,2105,1387
Gujarat,Surat,S.Mandvi,Bhindi(Ladies Finger),Other,03/25/2007,3755,3755,3755
Gujarat,Surat,S.Mandvi,Brinjal,Other,06/04/2012,600,1765,1182
Gujarat,Surat,S.Mandvi,Cowpea(Veg),Other,12/23/2025,1900,3955,2927
Gujarat,Surat,S.Mandvi,Paddy(Dhan)(Common),Other,09/29/2001,1450,1500,1475
Gujarat,Surat,S.Mandvi,Pegeon Pea (Arhar Fali),Other,09/12/2024,2010,4000,3005
Gujarat,Surat,S.Mandvi,Surat Beans (Papadi),Other,06/03/2025,2300,3995,3147
Gujarat,Surat,S.Mandvi,Tomato,Other,06/18/2021,670,2105,1387
Gujarat,Surat,Vyra,Bitter gourd,Bitter Gourd,09/01/2021,4800,5250,5025
Gujarat,Surat,Vyra,Bottle gourd,Other,07/09/2012,800,1300,1050
Gujarat,Surat,Vyra,Brinjal,Brinjal,09/29/2017,500,800,650
Gujarat,Surat,Vyra,Cabbage,Other,12/17/2017,800,1100,950
Gujarat,Surat,Vyra,Cauliflower,Other,07/27/2011,2000,2500,2250
Gujarat,Surat,Vyra,Cucumbar(Kheera),Other,09/11/2015,2250,2750,2500
Gujarat,Surat,Vyra,Gram Raw(Chholia),Other,10/17/2002,1750,2250,2000
Gujarat,Surat,Vyra,Guar,Other,12/13/2013,4500,6000,5200
Gujarat,Surat,Vyra,Little gourd (Kundru),Other,08/12/2022,3250,3500,3350
Gujarat,Surat,Vyra,Paddy(Dhan)(Common),Sabnam,01/04/2012,1665,1730,1697
Gujarat,Surat,Vyra,Pegeon Pea (Arhar Fali),Other,03/02/2015,2750,3000,2850
Gujarat,Surat,Vyra,Ridgeguard(Tori),Other,05/27/2022,2500,3000,2750
Gujarat,Surat,Vyra,Round gourd,Other,02/04/2004,1300,1500,1400
Gujarat,Surat,Vyra,Tomato,Other,10/02/2005,1100,1500,1300
Gujarat,Vadodara(Baroda),Bodeli,Cotton,Shanker 6 (B) 30mm FIne,03/17/2000,5301,5520,5400
Gujarat,Vadodara(Baroda),Bodeli(Hadod),Cotton,Shanker 6 (B) 30mm FIne,07/02/2021,5301,5514,5400
Gujarat,Vadodara(Baroda),Bodeli(Kalediya),Cotton,Shanker 6 (B) 30mm FIne,03/12/2007,5301,5517,5400
Gujarat,Vadodara(Baroda),Bodeli(Modasar),Cotton,Shanker 6 (B) 30mm FIne,05/01/2020,5301,5519,5400
Gujarat,Vadodara(Baroda),Padra,Bhindi(Ladies Finger),Other,01/10/2001,3500,4000,3800
Gujarat,Vadodara(Baroda),Padra,Bitter gourd,Other,10/27/2025,3500,4000,3800
Gujarat,Vadodara(Baroda),Padra,Bottle gourd,Other,08/20/2006,1500,2000,1750
Gujarat,Vadodara(Baroda),Padra,Brinjal,Other,05/19/2015,400,1000,750
Gujarat,Vadodara(Baroda),Padra,Carrot,Other,11/02/2010,750,1000,850
Gujarat,Vadodara(Baroda),Padra,Cauliflower,Other,06/18/2019,1000,1300,1250
Gujarat,Vadodara(Baroda),Padra,Coriander(Leaves),Other,03/10/2012,2500,3500,3000
Gujarat,Vadodara(Baroda),Padra,Cowpea(Veg),Other,12/13/2024,3000,3500,3300
Gujarat,Vadodara(Baroda),Padra,Cucumbar(Kheera),Other,09/07/2015,1250,2500,1750
Gujarat,Vadodara(Baroda),Padra,Drumstick,Other,09/27/2009,1250,1750,1400
Gujarat,Vadodara(Baroda),Padra,Elephant Yam (Suran),Other,07/27/2003,1500,1750,1650
Gujarat,Vadodara(Baroda),Padra,Ginger(Green),Other,11/02/2010,6000,6500,6300
Gujarat,Vadodara(Baroda),Padra,Green Chilli,Green Chilly,03/25/2022,2750,3500,3000
Gujarat,Vadodara(Baroda),Padra,Indian Beans (Seam),Other,10/13/2004,2000,2250,2100
Gujarat,Vadodara(Baroda),Padra,Leafy Vegetable,Leafy Vegetables,04/11/2014,500,1000,750
Gujarat,Vadodara(Baroda),Padra,Lemon,Other,04/11/2005,3500,5000,4150
Gujarat,Vadodara(Baroda),Padra,Methi(Leaves),Other,11/20/2020,700,1000,850
Gujarat,Vadodara(Baroda),Padra,Mint(Pudina),Other,05/03/2000,1000,1500,1300
Gujarat,Vadodara(Baroda),Padra,Onion,Other,04/17/2019,500,700,600
Gujarat,Vadodara(Baroda),Padra,Papaya (Raw),Other,03/17/2011,700,1000,850
Gujarat,Vadodara(Baroda),Padra,Peas cod,Other,07/12/2010,1500,1750,1600
Gujarat,Vadodara(Baroda),Padra,Pegeon Pea (Arhar Fali),Other,03/22/2008,2500,3500,3000
Gujarat,Vadodara(Baroda),Padra,Potato,Other,12/16/2010,600,750,700
Gujarat,Vadodara(Baroda),Padra,Pumpkin,Other,10/24/2013,500,2000,950
Gujarat,Vadodara(Baroda),Padra,Raddish,Other,07/01/2001,800,1000,850
Gujarat,Vadodara(Baroda),Padra,Spinach,Other,09/03/2004,450,500,475
Gujarat,Vadodara(Baroda),Padra,Sponge gourd,Other,10/19/2005,1750,2250,1950
Gujarat,Vadodara(Baroda),Padra,Surat Beans (Papadi),Other,06/05/2022,2000,3000,2500
Gujarat,Vadodara(Baroda),Padra,Sweet Potato,Other,02/10/2021,1500,2000,1700
Gujarat,Vadodara(Baroda),Padra,Tomato,Other,12/02/2025,1200,1500,1350
Gujarat,Valsad,Chikli(Khorgam),Bitter gourd,Other,07/27/2012,5500,6250,5875
Gujarat,Valsad,Chikli(Khorgam),Bottle gourd,Other,05/01/2013,1250,1500,1375
Gujarat,Valsad,Chikli(Khorgam),Pointed gourd (Parval),Other,04/23/2016,5000,5500,5250
Gujarat,Valsad,Chikli(Khorgam),Tinda,Other,08/28/2006,2750,3000,2875
Haryana,Ambala,Shahzadpur,Banana,Other,04/15/2002,3000,3000,3000
Haryana,Ambala,Shahzadpur,Ber(Zizyphus/Borehannu),Ber(Zizyphus),03/20/2002,2000,4000,3000
Haryana,Ambala,Shahzadpur,Carrot,Carrot,08/10/2014,700,700,700
Haryana,Ambala,Shahzadpur,Coriander(Leaves),Coriander,01/20/2004,1000,1805,1805
Haryana,Ambala,Shahzadpur,Garlic,Desi,06/15/2018,3000,3000,3000
Haryana,Ambala,Shahzadpur,Ginger(Green),Green Ginger,12/20/2021,8000,8000,8000
Haryana,Ambala,Shahzadpur,Grapes,Green,01/23/2025,4000,4000,4000
Haryana,Ambala,Shahzadpur,Green Chilli,Green Chilly,05/22/2019,4500,5200,5000
Haryana,Ambala,Shahzadpur,Kinnow,Other,06/24/2011,1200,2000,1500
Haryana,Ambala,Shahzadpur,Leafy Vegetable,Leafy Vegetables,06/20/2002,1000,1000,1000
Haryana,Ambala,Shahzadpur,Methi(Leaves),Methi,02/17/2006,1200,1500,1410
Haryana,Ambala,Shahzadpur,Peas Wet,Peas Wet,01/19/2024,1000,1400,1200
Haryana,Ambala,Shahzadpur,Potato,Local,01/22/2022,325,350,325
Haryana,Ambala,Shahzadpur,Raddish,Raddish,05/23/2013,500,600,600
Haryana,Ambala,Shahzadpur,Spinach,Spinach,01/07/2023,600,715,715
Haryana,Faridabad,Faridabad,Apple,Other,10/02/2001,4000,6000,5000
Haryana,Faridabad,Faridabad,Cabbage,Other,07/04/2013,400,500,450
Haryana,Faridabad,Faridabad,Carrot,Other,04/22/2005,400,500,450
Haryana,Faridabad,Faridabad,Cauliflower,Cauliflower,06/15/2015,1500,2500,2000
Haryana,Faridabad,Faridabad,Grapes,Other,01/28/2023,3000,5000,4000
Haryana,Faridabad,Faridabad,Green Chilli,Other,03/03/2025,2800,3000,2900
Haryana,Faridabad,Faridabad,Kinnow,Kinnow,02/18/2004,1000,1500,1250
Haryana,Faridabad,Faridabad,Orange,Other,01/26/2007,1500,2500,2000
Haryana,Faridabad,Faridabad,Peas Wet,Other,12/07/2011,800,1000,900
Haryana,Faridabad,Faridabad,Pomegranate,Other,10/19/2014,3000,6000,4500
Haryana,Faridabad,Faridabad,Potato,Other,05/31/2001,500,600,550
Haryana,Faridabad,Faridabad,Raddish,Other,08/12/2020,800,1000,900
Haryana,Faridabad,Faridabad,Tomato,Other,02/18/2025,1500,2000,1750
Haryana,Gurgaon,Pataudi,Banana,Other,03/14/2007,3000,3000,3000
Haryana,Gurgaon,Pataudi,Bottle gourd,Other,07/13/2008,2700,2700,2700
Haryana,Gurgaon,Pataudi,Cabbage,Other,05/05/2015,500,600,550
Haryana,Gurgaon,Pataudi,Carrot,Other,08/03/2018,300,500,400
Haryana,Gurgaon,Pataudi,Cauliflower,Other,02/04/2007,1400,1500,1450
Haryana,Gurgaon,Pataudi,Cucumbar(Kheera),Other,09/10/2025,1400,1400,1400
Haryana,Gurgaon,Pataudi,Grapes,Other,09/04/2003,3000,4000,3500
Haryana,Gurgaon,Pataudi,Onion,Other,07/09/2012,800,1200,1000
Haryana,Gurgaon,Pataudi,Orange,Other,12/22/2023,1400,3000,2200
Haryana,Gurgaon,Pataudi,Papaya,Other,04/17/2004,1500,1800,1650
Haryana,Gurgaon,Pataudi,Peas Wet,Other,03/29/2023,1000,2000,1500
Haryana,Gurgaon,Pataudi,Pomegranate,Other,08/11/2013,3500,5000,4250
Haryana,Gurgaon,Pataudi,Potato,Other,12/24/2006,600,700,650
Haryana,Gurgaon,Pataudi,Raddish,Other,06/06/2019,500,1000,750
Haryana,Gurgaon,Pataudi,Spinach,Other,11/26/2007,500,1000,750
Haryana,Gurgaon,Pataudi,Tinda,Other,07/28/2014,1500,1600,1550
Haryana,Gurgaon,Pataudi,Tomato,Other,05/29/2024,1200,1800,1500
Haryana,Kurukshetra,Pipli,Potato,Badshah,12/17/2019,100,400,296
Haryana,Mewat,Taura,Apple,Other,07/25/2018,8000,8000,8000
Haryana,Mewat,Taura,Banana,Other,10/15/2009,2000,2000,2000
Haryana,Mewat,Taura,Ber(Zizyphus/Borehannu),Other,07/27/2023,1200,1300,1300
Haryana,Mewat,Taura,Bhindi(Ladies Finger),Bhindi,06/10/2007,6000,6000,6000
Haryana,Mewat,Taura,Carrot,Carrot,06/28/2018,600,700,700
Haryana,Mewat,Taura,Chikoos(Sapota),Other,08/30/2017,3000,3500,3500
Haryana,Mewat,Taura,Cucumbar(Kheera),Other,05/03/2004,3000,3000,3000
Haryana,Mewat,Taura,Ginger(Green),Other,11/27/2015,9000,9000,9000
Haryana,Mewat,Taura,Grapes,Other,08/22/2012,3000,3000,3000
Haryana,Mewat,Taura,Kinnow,Other,05/23/2019,1500,1500,1500
Haryana,Mewat,Taura,Orange,Other,03/09/2014,3000,3000,3000
Haryana,Mewat,Taura,Pomegranate,Other,10/13/2024,5000,5000,5000
Haryana,Mewat,Taura,Potato,Potato,05/14/2016,700,700,700
Haryana,Mewat,Taura,Raddish,Other,09/13/2001,800,800,800
Haryana,Mewat,Taura,Tomato,Tomato,11/10/2001,1500,1500,1500
Haryana,Panipat,Madlauda,Cauliflower,Cauliflower,06/08/2013,800,800,800
Haryana,Panipat,Madlauda,Onion,Other,07/28/2021,1500,1500,1500
Haryana,Panipat,Madlauda,Potato,Other,06/22/2001,1000,1000,1000
Haryana,Panipat,Madlauda,Tomato,Other,09/28/2010,1500,1500,1500
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Apple,Apple,02/24/2016,7000,7500,7500
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Bottle gourd,Bottle Gourd,01/27/2012,2600,3000,2800
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Brinjal,Brinjal,08/05/2020,2400,2600,2500
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Cabbage,Cabbage,08/11/2010,700,900,800
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Capsicum,Capsicum,11/03/2009,4500,5000,4800
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Carrot,Carrot,10/30/2015,900,1000,1000
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Cauliflower,Cauliflower,04/12/2014,900,1100,1000
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Coriander(Leaves),Coriander,04/07/2018,2500,2500,2500
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Kinnow,Kinnow,07/21/2007,2000,2400,2200
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Peas Wet,Peas Wet,12/10/2014,1700,1800,1800
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Pomegranate,Other,12/18/2015,7500,7500,7500
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Potato,Potato,01/12/2021,700,800,800
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Raddish,Raddish,03/19/2011,0,700,600
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Spinach,Other,11/09/2015,1400,0,1500
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Tomato,Tomato,08/31/2001,1800,2200,2000
Himachal Pradesh,Kangra,Kangra(Jassour),Apple,Other,12/20/2005,4000,6000,5000
Himachal Pradesh,Kangra,Kangra(Jassour),Banana,Other,10/02/2019,2300,2500,2400
Himachal Pradesh,Kangra,Kangra(Jassour),Bhindi(Ladies Finger),Other,07/18/2022,4000,4500,4250
Himachal Pradesh,Kangra,Kangra(Jassour),Bottle gourd,Other,05/01/2007,2000,2500,2250
Himachal Pradesh,Kangra,Kangra(Jassour),Brinjal,Other,02/20/2017,1200,1500,1350
Himachal Pradesh,Kangra,Kangra(Jassour),Cabbage,Other,10/03/2017,400,500,450
Himachal Pradesh,Kangra,Kangra(Jassour),Capsicum,Other,03/27/2012,4000,4500,4250
Himachal Pradesh,Kangra,Kangra(Jassour),Carrot,Other,07/27/2007,600,700,650
Himachal Pradesh,Kangra,Kangra(Jassour),Cauliflower,Other,06/06/2021,1200,1500,1350
Himachal Pradesh,Kangra,Kangra(Jassour),Coriander(Leaves),Other,04/06/2002,1200,1500,1350
Himachal Pradesh,Kangra,Kangra(Jassour),French Beans (Frasbean),Other,12/30/2015,3800,4000,3900
Himachal Pradesh,Kangra,Kangra(Jassour),Ginger(Green),Other,02/27/2007,8500,9000,8750
